start,end,value
00:03.050000,00:03.070000,0.26878205
00:03.060000,00:03.080000,0.8048919
00:03.070000,00:03.090000,1.7388989
00:03.080000,00:03.100000,2.7481296
00:03.090000,00:03.110000,3.1777842
00:03.100000,00:03.120000,2.9200408
00:03.110000,00:03.130000,2.2236702
00:03.120000,00:03.140000,1.4802027
00:03.130000,00:03.150000,0.93777514
00:03.140000,00:03.160000,0.5721378
00:03.150000,00:03.170000,0.44361997
00:03.160000,00:03.180000,0.43801174
00:03.170000,00:03.190000,0.5550403
00:03.180000,00:03.200000,0.7522156
00:03.190000,00:03.210000,1.183825
00:03.200000,00:03.220000,1.3930196
00:03.210000,00:03.230000,1.427156
00:03.220000,00:03.240000,1.076913
00:03.230000,00:03.250000,0.79943085
00:03.240000,00:03.260000,0.7079938
00:03.250000,00:03.270000,0.71980566
00:03.260000,00:03.280000,0.78769904
00:03.270000,00:03.290000,0.7254688
00:03.280000,00:03.300000,0.68899935
00:03.290000,00:03.310000,0.5082187
00:03.300000,00:03.320000,0.34421515
00:03.310000,00:03.330000,0.16469778
00:03.320000,00:03.340000,0.14220913
00:03.330000,00:03.350000,0.38264057
00:03.340000,00:03.360000,1.2026869
00:03.350000,00:03.370000,2.1482942
00:03.360000,00:03.380000,3.048702
00:03.370000,00:03.390000,3.0953572
00:03.380000,00:03.400000,2.8307388
00:03.390000,00:03.410000,2.118498
00:03.400000,00:03.420000,1.4670156
00:03.410000,00:03.430000,0.95870906
00:03.420000,00:03.440000,0.70760995
00:03.430000,00:03.450000,0.6654847
00:03.440000,00:03.460000,0.66405433
00:03.450000,00:03.470000,0.6362324
00:03.460000,00:03.480000,0.62169534
00:03.470000,00:03.490000,0.5981193
00:03.480000,00:03.500000,0.682195
00:03.490000,00:03.510000,1.0325022
00:03.500000,00:03.520000,1.6478487
00:03.510000,00:03.530000,2.1522431
00:03.520000,00:03.540000,2.3655453
00:03.530000,00:03.550000,2.2471426
00:03.540000,00:03.560000,2.2093904
00:03.550000,00:03.570000,2.1600056
00:03.560000,00:03.580000,2.1979856
00:03.570000,00:03.590000,2.1806908
00:03.580000,00:03.600000,2.0864756
00:03.590000,00:03.610000,1.8947941
00:03.600000,00:03.620000,1.3202726
00:03.610000,00:03.630000,0.7886757
00:03.620000,00:03.640000,0.33327445
00:03.630000,00:03.650000,0.24182774
00:03.640000,00:03.660000,0.20967484
00:03.650000,00:03.670000,0.1802003
00:03.660000,00:03.680000,0.267553
00:03.670000,00:03.690000,0.61352175
00:03.680000,00:03.700000,0.77046585
00:03.690000,00:03.710000,0.9006624
00:03.700000,00:03.720000,0.781233
00:03.710000,00:03.730000,0.87132573
00:03.720000,00:03.740000,0.9173853
00:03.730000,00:03.750000,0.97457147
00:03.740000,00:03.760000,1.0055043
00:03.750000,00:03.770000,1.0331343
00:03.760000,00:03.780000,1.0103728
00:03.770000,00:03.790000,0.99735683
00:03.780000,00:03.800000,0.92367905
00:03.790000,00:03.810000,0.8057789
00:03.800000,00:03.820000,0.7522064
00:03.810000,00:03.830000,0.8470328
00:03.820000,00:03.840000,1.1822537
00:03.830000,00:03.850000,1.3811401
00:03.840000,00:03.860000,1.4939752
00:03.850000,00:03.870000,1.52918
00:03.860000,00:03.880000,1.6521158
00:03.870000,00:03.890000,1.7064756
00:03.880000,00:03.900000,1.7730799
00:03.890000,00:03.910000,1.6436464
00:03.900000,00:03.920000,1.4203218
00:03.910000,00:03.930000,0.9903758
00:03.920000,00:03.940000,0.8148532
00:03.930000,00:03.950000,0.7931351
00:03.940000,00:03.960000,0.9212322
00:03.950000,00:03.970000,0.86255646
00:03.960000,00:03.980000,0.6607184
00:03.970000,00:03.990000,0.37931514
00:03.980000,00:04,0.19996329
00:03.990000,00:04.010000,0.30286792
00:04,00:04.020000,0.5839466
00:04.010000,00:04.030000,1.0693808
00:04.020000,00:04.040000,1.7194344
00:04.030000,00:04.050000,2.1719902
00:04.040000,00:04.060000,2.2849085
00:04.050000,00:04.070000,2.0331924
00:04.060000,00:04.080000,1.8292459
00:04.070000,00:04.090000,1.8207927
00:04.080000,00:04.100000,1.9152985
00:04.090000,00:04.110000,1.942104
00:04.100000,00:04.120000,1.6955042
00:04.110000,00:04.130000,1.1603771
00:04.120000,00:04.140000,0.6451481
00:04.130000,00:04.150000,0.43771768
00:04.140000,00:04.160000,0.67716265
00:04.150000,00:04.170000,1.0435524
00:04.160000,00:04.180000,1.1295782
00:04.170000,00:04.190000,0.8766539
00:04.180000,00:04.200000,0.5294061
00:04.190000,00:04.210000,0.433767
00:04.200000,00:04.220000,0.56546545
00:04.210000,00:04.230000,0.7636482
00:04.220000,00:04.240000,0.91205263
00:04.230000,00:04.250000,0.9352851
00:04.240000,00:04.260000,0.8985445
00:04.250000,00:04.270000,0.86351657
00:04.260000,00:04.280000,0.8513997
00:04.270000,00:04.290000,0.8482037
00:04.280000,00:04.300000,0.79254746
00:04.290000,00:04.310000,0.8178663
00:04.300000,00:04.320000,0.63648593
00:04.310000,00:04.330000,0.48822966
00:04.320000,00:04.340000,0.22958744
00:04.330000,00:04.350000,0.17929278
00:04.340000,00:04.360000,0.40678585
00:04.350000,00:04.370000,0.550611
00:04.360000,00:04.380000,0.76327944
00:04.370000,00:04.390000,0.8609988
00:04.380000,00:04.400000,1.0777682
00:04.390000,00:04.410000,1.4133683
00:04.400000,00:04.420000,1.8432727
00:04.410000,00:04.430000,2.3804677
00:04.420000,00:04.440000,2.8485253
00:04.430000,00:04.450000,3.2099867
00:04.440000,00:04.460000,3.4634907
00:04.450000,00:04.470000,3.6712968
00:04.460000,00:04.480000,3.5936182
00:04.470000,00:04.490000,3.3421767
00:04.480000,00:04.500000,2.8054419
00:04.490000,00:04.510000,2.2342556
00:04.500000,00:04.520000,1.4635364
00:04.510000,00:04.530000,0.8448073
00:04.520000,00:04.540000,0.39763036
00:04.530000,00:04.550000,0.30618343
00:04.540000,00:04.560000,0.29820648
00:04.550000,00:04.570000,0.2895387
00:04.560000,00:04.580000,0.27889207
00:04.570000,00:04.590000,0.25054702
00:04.580000,00:04.600000,0.23056172
00:04.590000,00:04.610000,0.21992622
00:04.600000,00:04.620000,0.21210968
00:04.610000,00:04.630000,0.2051978
00:04.620000,00:04.640000,0.1916246
00:04.630000,00:04.650000,0.18211953
00:04.640000,00:04.660000,0.18132502
00:04.650000,00:04.670000,0.1834277
00:04.660000,00:04.680000,0.17997538
00:04.670000,00:04.690000,0.17275846
00:04.680000,00:04.700000,0.16518475
00:04.690000,00:04.710000,0.15825252
00:04.700000,00:04.720000,0.15208639
00:04.710000,00:04.730000,0.14144154
00:04.720000,00:04.740000,0.13332371
00:04.730000,00:04.750000,0.12280249
00:04.740000,00:04.760000,0.120838284
00:04.750000,00:04.770000,0.119684555
00:04.760000,00:04.780000,0.121091425
00:04.770000,00:04.790000,0.12185187
00:04.780000,00:04.800000,0.12152257
00:04.790000,00:04.810000,0.12625135
00:04.800000,00:04.820000,0.12279103
00:04.810000,00:04.830000,0.121262275
00:04.820000,00:04.840000,0.118607245
00:04.830000,00:04.850000,0.120153606
00:04.840000,00:04.860000,0.119178094
00:04.850000,00:04.870000,0.11850221
00:04.860000,00:04.880000,0.118925154
00:04.870000,00:04.890000,0.12389147
00:04.880000,00:04.900000,0.12291062
00:04.890000,00:04.910000,0.12462144
00:04.900000,00:04.920000,0.12043176
00:04.910000,00:04.930000,0.11891383
00:04.920000,00:04.940000,0.117335774
00:04.930000,00:04.950000,0.11928034
00:04.940000,00:04.960000,0.12077222
00:04.950000,00:04.970000,0.12407134
00:04.960000,00:04.980000,0.122157805
00:04.970000,00:04.990000,0.1236453
00:04.980000,00:05,0.12170845
00:04.990000,00:05.010000,0.123970985
00:05,00:05.020000,0.12238923
00:05.010000,00:05.030000,0.11988482
00:05.020000,00:05.040000,0.1212819
00:05.030000,00:05.050000,0.121101685
00:05.040000,00:05.060000,0.11941404
00:05.050000,00:05.070000,0.11863521
00:05.060000,00:05.080000,0.11791053
00:05.070000,00:05.090000,0.12124294
00:05.080000,00:05.100000,0.119726025
00:05.090000,00:05.110000,0.12180898
00:05.100000,00:05.120000,0.12147558
00:05.110000,00:05.130000,0.119879186
00:05.120000,00:05.140000,0.11906973
00:05.130000,00:05.150000,0.12137022
00:05.140000,00:05.160000,0.123410106
00:05.150000,00:05.170000,0.1251422
00:05.160000,00:05.180000,0.12321725
00:05.170000,00:05.190000,0.12239653
00:05.180000,00:05.200000,0.119299494
00:05.190000,00:05.247709751,0.11978667
